x,y
0.00,24.10
1.00,25.20
2.00,26.30
3.00,27.40
4.00,28.50
5.00,29.60
6.00,30.70
7.00,31.80
8.00,32.90
9.00,34.00
10.00,35.10
11.00,36.20
12.00,37.30
13.00,38.40
14.00,39.50
15.00,40.60
16.00,41.70
17.00,42.80
18.00,43.90
19.00,45.00
20.00,46.10
21.00,47.20
22.00,48.30
23.00,49.40
24.00,50.50
25.00,51.60
26.00,52.70
27.00,53.80
28.00,54.90
29.00,56.00
30.00,57.10
31.00,58.20
32.00,59.30
33.00,60.40
34.00,61.50
35.00,62.60
36.00,63.70
37.00,64.80
38.00,65.90
39.00,67.00
40.00,68.10
41.00,69.20
42.00,70.30
43.00,71.40
44.00,72.50
45.00,73.60
46.00,74.70
47.00,75.80
48.00,76.90
49.00,78.00
50.00,79.10
51.00,80.20
52.00,81.30
53.00,82.40
54.00,83.50
55.00,84.60
56.00,85.70
57.00,86.80
58.00,87.90
59.00,89.00
60.00,90.10
61.00,91.20
62.00,92.30
63.00,93.40
64.00,94.50
65.00,95.60
66.00,96.70
67.00,97.80
68.00,98.90
69.00,100.00
70.00,101.10
71.00,102.20
72.00,103.30
73.00,104.40
74.00,105.50
75.00,106.60
76.00,107.70
77.00,108.80
78.00,109.90
79.00,111.00
80.00,112.10
81.00,113.20
82.00,114.30
83.00,115.40
84.00,116.50
85.00,117.60
86.00,118.70
87.00,119.80
88.00,120.90
89.00,122.00
90.00,123.10
91.00,124.20
92.00,125.30
93.00,126.40
94.00,127.50
95.00,128.60
96.00,129.70
97.00,130.80
98.00,131.90
99.00,133.00
