x,y
0.00,23.00
1.00,24.75
2.00,26.50
3.00,28.25
4.00,30.00
5.00,31.75
6.00,33.50
7.00,35.25
8.00,37.00
9.00,38.75
10.00,40.50
11.00,42.25
12.00,44.00
13.00,45.75
14.00,47.50
15.00,49.25
16.00,51.00
17.00,52.75
18.00,54.50
19.00,56.25
20.00,58.00
21.00,59.75
22.00,61.50
23.00,63.25
24.00,65.00
25.00,66.75
26.00,68.50
27.00,70.25
28.00,72.00
29.00,73.75
30.00,75.50
31.00,77.25
32.00,79.00
33.00,80.75
34.00,82.50
35.00,84.25
36.00,86.00
37.00,87.75
38.00,89.50
39.00,91.25
40.00,93.00
41.00,94.75
42.00,96.50
43.00,98.25
44.00,100.00
45.00,101.75
46.00,103.50
47.00,105.25
48.00,107.00
49.00,108.75
50.00,110.50
51.00,112.25
52.00,114.00
53.00,115.75
54.00,117.50
55.00,119.25
56.00,121.00
57.00,122.75
58.00,124.50
59.00,126.25
60.00,128.00
61.00,129.75
62.00,131.50
63.00,133.25
64.00,135.00
65.00,136.75
66.00,138.50
67.00,140.25
68.00,142.00
69.00,143.75
70.00,145.50
71.00,147.25
72.00,149.00
73.00,150.75
74.00,152.50
75.00,154.25
76.00,156.00
77.00,157.75
78.00,159.50
79.00,161.25
80.00,163.00
81.00,164.75
82.00,166.50
83.00,168.25
84.00,170.00
85.00,171.75
86.00,173.50
87.00,175.25
88.00,177.00
89.00,178.75
90.00,180.50
91.00,182.25
92.00,184.00
93.00,185.75
94.00,187.50
95.00,189.25
96.00,191.00
97.00,192.75
98.00,194.50
99.00,196.25
