x,y
0.00,24.75
1.00,25.96
2.00,27.17
3.00,28.38
4.00,29.59
5.00,30.80
6.00,32.01
7.00,33.22
8.00,34.43
9.00,35.64
10.00,36.85
11.00,38.06
12.00,39.27
13.00,40.48
14.00,41.69
15.00,42.90
16.00,44.11
17.00,45.32
18.00,46.53
19.00,47.74
20.00,48.95
21.00,50.16
22.00,51.37
23.00,52.58
24.00,53.79
25.00,55.00
26.00,56.21
27.00,57.42
28.00,58.63
29.00,59.84
30.00,61.05
31.00,62.26
32.00,63.47
33.00,64.68
34.00,65.89
35.00,67.10
36.00,68.31
37.00,69.52
38.00,70.73
39.00,71.94
40.00,73.15
41.00,74.36
42.00,75.57
43.00,76.78
44.00,77.99
45.00,79.20
46.00,80.41
47.00,81.62
48.00,82.83
49.00,84.04
50.00,85.25
51.00,86.46
52.00,87.67
53.00,88.88
54.00,90.09
55.00,91.30
56.00,92.51
57.00,93.72
58.00,94.93
59.00,96.14
60.00,97.35
61.00,98.56
62.00,99.77
63.00,100.98
64.00,102.19
65.00,103.40
66.00,104.61
67.00,105.82
68.00,107.03
69.00,108.24
70.00,109.45
71.00,110.66
72.00,111.87
73.00,113.08
74.00,114.29
75.00,115.50
76.00,116.71
77.00,117.92
78.00,119.13
79.00,120.34
80.00,121.55
81.00,122.76
82.00,123.97
83.00,125.18
84.00,126.39
85.00,127.60
86.00,128.81
87.00,130.02
88.00,131.23
89.00,132.44
90.00,133.65
91.00,134.86
92.00,136.07
93.00,137.28
94.00,138.49
95.00,139.70
96.00,140.91
97.00,142.12
98.00,143.33
99.00,144.54
